caso_numero,victima_edad,victima_identidad_genero,victima_tipo,hecho_provincia,hecho_modalidad_comisiva,hecho_fecha,año,mes
780,36,HOMBRE,VINCULADO,Buenos Aires,DISPARO DE BALA,2016-12-14,2016,12
1142,35,MUJER,PRINCIPAL,Buenos Aires,DISPARO DE BALA,2016-12-14,2016,12
786,16,MUJER,PRINCIPAL,Chaco,INDEFINIDO,2016-12-18,2016,12
784,47,MUJER,PRINCIPAL,Misiones,GOLPES,2016-12-18,2016,12
788,34,MUJER,PRINCIPAL,Tucuman,ESTRANGULAMIENTO,2016-12-21,2016,12
795,22,TRANSGENERO,PRINCIPAL,Buenos Aires,GOLPES,2016-12-22,2016,12
804,35,MUJER,PRINCIPAL,Buenos Aires,GOLPES,2016-12-24,2016,12
791,29,MUJER,PRINCIPAL,Santiago del Estero,ACUCHILLAMIENTO,2016-12-24,2016,12
792,70,HOMBRE,VINCULADO,Entre Rios,ACUCHILLAMIENTO,2016-12-25,2016,12
790,45,HOMBRE,VINCULADO,Santa Fe,APUÑALAMIENTO,2016-12-25,2016,12
790,15,MUJER,VINCULADO,Santa Fe,APUÑALAMIENTO,2016-12-25,2016,12
790,44,MUJER,VINCULADO,Santa Fe,APUÑALAMIENTO,2016-12-25,2016,12
790,32,HOMBRE,VINCULADO,Santa Fe,APUÑALAMIENTO,2016-12-25,2016,12
796,31,MUJER,PRINCIPAL,Buenos Aires,ACUCHILLAMIENTO,2016-12-27,2016,12
799,15,MUJER,PRINCIPAL,Buenos Aires,DISPARO DE BALA,2016-12-29,2016,12
